English Event Title,English Location,English One-sentence Summary,Spanish event title,Spanish Location,Spanish One-sentence Summary,German event title,German location,German one-sentence summary,Portuguese event title,Portuguese location,Portuguese one sentence summary,Italian event title,Italian location,Italian one sentence summary,Chinese event title,chinese location,chinese one sentence summary,japanese event title,Japanese location,Japanese one sentence summary
A collection of esteemed Colleagues,University,The University was abuzz with activity as they attended various events and offered their prescribed greetings.,Una colección de colegas estimados.,Universidad,La universidad se enfrentó a la actividad a medida que asistían a varios eventos y ofrecían sus saludos prescritos.,Eine Sammlung von geschätzten Kollegen,Universität,Die Universität war mit Tätigkeit abgebrochen als sie an verschiedenen Veranstaltungen teilnahmen und ihre vorgeschriebenen Grüße anboten.,Uma coleção de colegas estimados,Universidade,A universidade foi agitado com a atividade à medida que frequentavam vários eventos e ofereciam suas saudações prescritas.,Una collezione di colleghi stimati,Università,L'Università è stata impropria di attività in quanto frequentavano vari eventi e offrivano i loro saluti prescritti.,一系列尊敬的同事,大学,在参加各种活动并提供规定的问候时，该大学是活动的。,尊敬される同僚のコレクション,大学,大学はさまざまなイベントに出席し、彼らの処方された挨拶を提供したので、活動を抱えていました。
Symposium Failure,Laboratory,The cousins were informed that they would not be receiving any invitations for lecture opportunities in the future.,Falla del simposio,Laboratorio,Se informó a los primos que no estarían recibiendo ninguna invitación para oportunidades de conferencias en el futuro.,Symposiumfehler,Labor,Die Cousins ​​wurden informiert dass sie in der Zukunft keine Einladungen für Vortragsmöglichkeiten erhalten würden.,Falha do Simpósio.,Laboratório,Os primos foram informados de que não estariam recebendo nenhum convite para as oportunidades de palestras no futuro.,Fallimento del simposio,Laboratorio,I cugini sono stati informati che non avrebbero ricevuto alcun inviti per le opportunità di conferenza in futuro.,研讨会失败,实验室,表兄弟被告知，他们不会在未来接受任何讲座的邀请。,シンポジウムの失敗,実験室,いとこは、将来的に講演機会の招待状を受けないことを知らせました。
Dubious Bartering,University,The bishop entreated the cousins to donate time and money to help aid the sick at the church. ,Trueque dudoso,Universidad,El obispo rogó a los primos para donar tiempo y dinero para ayudar a ayudar a los enfermos en la iglesia.,Zweifelhaftes Tausch,Universität,Der Bischof brachte die Cousins ​​ein um Zeit und Geld zu spenden, um den Kranken in der Kirche zu helfen.,Bartering duvidosa,Universidade,O bispo atreveu aos primos para doar tempo e dinheiro para ajudar a ajudar os doentes na igreja.,Dubious Barater.,Università,Il vescovo ha pregato i cugini per donare il tempo e il denaro per aiutare a aiutare gli ammalati alla Chiesa.,可疑的易货交易,大学,主教们恳求表兄弟捐出时间和金钱，帮助援助教会的病人。,疑わしいバターリング,大学,ビショップは、教会で病気を助けるために時間とお金を寄付するためにいとこを懇願しました。
Vacation Offer Accepted,Beach,Player child was left in the care of servants and spent their winters within the solitary stone walls of the cold estate.,Oferta de vacaciones aceptada,playa,El jugador niño se quedó en el cuidado de los sirvientes y pasó sus inviernos dentro de las paredes de piedra solitaria de la finca fría.,Urlaubsangebot akzeptiert,Strand,Das Spielerkind wurde in der Betreuung von Dienern gelassen und verbrachte ihre Winter in den einzelnen Steinmauern der kalten Immobilien.,Oferta de férias aceites,de praia,Jogador criança foi deixada no cuidado de servos e passou seus invernos dentro das muralhas de pedra solitária da propriedade fria.,Offerta per le vacanze accettata,Spiaggia,Il bambino del giocatore è stato lasciato nella cura dei servi e ha trascorso i loro inverni all'interno delle pareti di pietra solitaria della tenuta del freddo.,假期提供,海滩,球员留在仆人的照顾中，并在寒冷的孤独的石墙中度过了他们的冬天。,休暇のオファーが受け入れられました,ビーチ,プレイヤーの子供は、しもべの世話をして、寒さの石の壁に冬を費やしました。
Inescapable Plague,House,The group of young scientists found themselves stricken with a chronic illness that would remain with them for their entire lives.,Plaga ineludible,casa,El grupo de jóvenes científicos se encontraron afectados por una enfermedad crónica que permanecería con ellos por toda su vida.,Unausweichliche Pest,Haus,Die Gruppe junger Wissenschaftler fanden sich mit einer chronischen Erkrankung die für ihr ganzes Leben lang bei ihnen bleiben würde.,Peste inescapável,lar,O grupo de jovens cientistas se viu atingidos com uma doença crônica que permaneceria com eles por toda a vida.,Peste ineludibile,Casa,Il gruppo di giovani scienziati si ritrovò colpiti da una malattia cronica che rimarrebbe con loro per tutta la vita.,不可避免的瘟疫,屋,这群年轻科学家发现自己患有慢性疾病，这将留在他们的整个生命中。,避けられないペスト,家,若い科学者たちのグループは、彼らが彼らの生活のためにそれらと一緒に残るだろう慢性的な疾患で悩まされていることを見出しました。
Surprising Correspondence,Village,The cousins were amused to receive a plain letter of correspondence sealed with wax.,Correspondencia sorprendente,Pueblo,Los primos se divirtieron para recibir una letra de correspondencia sellada con cera.,Überraschende Korrespondenz,Dorf,Die Cousins ​​waren amüsiert um einen einfachen Korrespondenzbuchstaben mit Wachs zu erhalten.,Correspondência surpreendente,Vila,Os primos foram divertidos para receber uma carta simples de correspondência selada com cera.,Corrispondenza sorprendente,Villaggio,I cugini erano divertiti a ricevere una semplice lettera di corrispondenza sigillata con cera.,令人惊讶的对应,村庄,堂兄弟被逗乐，接受用蜡密封的普通的通信字母。,驚くべき対応,村,いとこは、ワックスで密封された正確な対応書を受け取るために面白された。
Absent Parent,House,Time away from the estate left an unfortunate void in generation II's psychological development.,Padre ausente,casa,El tiempo fuera de la finca dejó un desafortunado vacío en el desarrollo psicológico de la generación II.,Abwesender Elternteil.,Haus,Die Zeit weg vom Anwesen hinterließ eine unglückliche Leere in der psychologischen Entwicklung von Generation II.,Pai ausente,lar,O tempo longe da propriedade deixou um despojado infeliz no desenvolvimento psicológico da geração II.,Genitore assente,Casa,Tempo lontano dalla tenuta ha lasciato uno sfortunato vuoto nello sviluppo psicologico della Generazione II.,缺席父母,屋,在二代的心理发展中留出了遗产的时间留下了不幸的空虚。,欠勤の,家,不動産から離れた時間は、世代IIの心理的発展において残念な無声を残しました。
The Hunt Begins,Hunter's Lodge,The Fraternity claims to exterminate the plague of monsters that tormented the town.,La caza comienza,Hunter's Lodge,La fraternidad afirma exterminar la plaga de los monstruos que atormentaban la ciudad.,Die Jagd beginnt,Hunters Lodge,Die Brüderlichkeit behauptet die Pest der Monster die die Stadt gequält auszutreten.,A caça começa,Hunter's Lodge.,A fraternidade afirma exterinar a praga dos monstros que atormentou a cidade.,Inizia la caccia,Hunter's Lodge.,La fraternità afferma di sterminare la piaga dei mostri che tormentò la città.,狩猎开始了,猎人的小屋,兄弟会声称将灭绝折磨镇的怪物瘟疫。,狩りが始まります,ハンターのロッジ,友愛は、町を苦しめたモンスターの疫病を駆除することを主張しています。
The Consequences of Disobedience,Town Hall,The townsfolk had no reason to doubt their loyalty to the Fraternity as it appeared that their activities kept both sickness and superstitions at bay.,Las consecuencias de la desobediencia,Ayuntamiento,El pueblo no tenía ninguna razón para dudar de su lealtad a la fraternidad ya que parecía que sus actividades mantuvieron la enfermedad y las supersticiones.,Die Folgen des Ungehorsams,Rathaus,Die Townsfolk hatten keinen Grund ihre Treue an die Bruderschaft zu zweifeln da sie schien dass ihre Aktivitäten sowohl Krankheit als auch Aberglauben in der Bucht hielten.,As conseqüências da desobediência,Prefeitura,O Townsfolk não tinha motivos para duvidar de sua lealdade à fraternidade como parecia que suas atividades mantiveram tanto a doença quanto as superstições da baía.,Le conseguenze della disobbedienza,Municipio,Il centro di città non ha avuto motivo di dubitare della loro lealtà verso la fraternità come sembrava che le loro attività mantengano a bada la malattia e le superstizioni.,不服从的后果,市政厅,Townsfolk没有理由怀疑他们对兄弟会的忠诚，因为它似乎他们的活动在海湾保持了疾病和迷信。,不従順の結果,町役場,タウンズフォークは、彼らの活動が湾で病気と迷信の両方を保ったように現れたため、友愛に忠誠心を疑う理由はありませんでした。
The Consequences of Being Good,Village,The town was desperate to move forward and they could not stomach the cousins' ambitions.,Las consecuencias de ser bueno,Pueblo,La ciudad estaba desesperada por avanzar y no podían estomunicales las ambiciones de los primos.,Die Folgen des Guten,Dorf,Die Stadt war verzweifelt um sich vorwärts zu bewegen und sie konnten die Ambitionen der Cousins ​​nicht busten.,As conseqüências de ser bom,Vila,A cidade estava desesperada para avançar e eles não podiam estômagar as ambições dos primos.,Le conseguenze di essere buono,Villaggio,La città era disperata per andare avanti e non potevano sopportare le ambizioni dei cugini.,好的后果,村庄,该镇绝望地向前迈进，他们不能忍受堂兄弟的野心。,善の結果,村,町は前進するのが絶望的で、彼らはいとこの野心を胃ではありませんでした。
A Frightful Day,Village,The rage amongst the townsfolk would well up and explode in uncontrollably violent outbursts but for the monsters of the village it was a feverish bloodlust.,Un día espantoso,Pueblo,La rabia entre los pueblos de la ciudad explotaba y explotaba en arrebatos incontrolablemente violentos pero para los monstruos de la aldea era una solanera febril.,Ein schrecklicher Tag,Dorf,Die Wut zwischen den Townsfolk würde in unkontrollierbar gewalttätigen Ausbrüten aber für die Monster des Dorfes war es eine fiebrige Blutliste.,Um dia assustador,Vila,A raiva entre o Townsfolk iria bem e explodir em explosões incontrolavelmente violentas mas para os monstros da aldeia era uma luta febril.,Una giornata spaventosa,Villaggio,La rabbia tra il centro storico avrebbe superato ed esplodere in esplosioni incontrollabili violenti ma per i mostri del villaggio era una disseminazione di sangue febbrile.,一个可怕的日子,村庄,Townsfolk之间的愤怒将在不可控制的暴力爆发中爆炸，但对于村庄的怪物来说，这是一个发烧的嗜血。,恐ろしい日,村,町の中の激怒は、制御できないほど暴力的な爆発で爆発しますが、村のモンスターのためにそれは熱血圧でした。
Condescending Patronage,Village,It was clear to the townsfolk that disease was caused by the presence of demons.,Patronato condescendiente,Pueblo,Estaba claro para las ciudades que la enfermedad fue causada por la presencia de demonios.,Herablassende Schirmherrschaft,Dorf,Dem Townsfolk war klar dass Krankheit durch das Vorhandensein von Dämonen verursacht wurde.,Patrocínio condescendente,Vila,Ficou claro para o Townsfolk que a doença foi causada pela presença de demônios.,Patrocinio condiscendente,Villaggio,Era chiaro per il centro storico che la malattia è stata causata dalla presenza di demoni.,居高临下的惠顾,村庄,对于乡镇，疾病是由恶魔的存在引起的。,恐怖の後援,村,疾患の存在が原因によって引き起こされた町の力には明らかでした。
The Hunter's Tax,Fraternity Lodge,The Fraternity Lodge held a town meeting gathering the majority of the townsfolk.,El impuesto del cazador,Lodge Fraternity,El Fraternity Lodge celebró una reunión de la ciudad reuniendo la mayoría de los pueblos.,Die Jägersteuer,Fraternity Lodge.,Die Brüderzündungshütte hielt ein Stadttreffen das die Mehrheit der Townsfolk sammelte.,O imposto do caçador,Fraternity Lodge.,A Fraternity Lodge realizou uma reunião da cidade reunindo a maior parte do Townsfolk.,La tassa del cacciatore,Fraternity Lodge.,La Fraternity Lodge ha tenuto una riunione della città raccogliendo la maggior parte del centro storico.,猎人的税收,兄弟会小屋,Fraternity Lodge举办了一个小镇会议，聚集了大多数镇上的城镇。,ハンターの税金,フォレタニティロッジ,Fraternity Lodgeは、タウンソルクの大部分を集める町会を開催しました。
Prepare a Contest,Village,The Fraternity would provide guaranteed proof of their supernatural exploits by confronting the cursed beasts of the evening in full view of the townspeople.,Preparar un concurso,Pueblo,La fraternidad proporcionará una prueba garantizada de sus hazañas sobrenaturales al enfrentar las bestias malditas de la noche a la vista de la gente del pueblo.,Einen Wettbewerb vorbereiten,Dorf,Die Brüderlichkeit würde einen garantierten Nachweis ihrer übernatürlichen Exploissionen bieten indem sie die verglichenen Tiere des Abends in voller Ansicht des Townspreopels konfrontiert haben.,Prepare um concurso,Vila,A fraternidade forneceria uma prova garantida de suas explorações sobrenaturais enfrentando as feras amaldiçoadas da noite em plena visão das pessoas da cidade.,Preparare un concorso,Villaggio,La fraternità fornirebbe una prova garantita dei loro exploit soprannaturali affrontando le bestie maledette della serata in piena vista dei cittadini.,contest,村庄,兄弟会将通过面对仙境的诅咒野兽在城镇普通的景色中面对诅咒的野兽提供保证证明。,コンテストを準備します,村,友愛は、夕方の呪われた獣を町民の全視野で直面させることによって彼らの超自然的な悪用の証拠を保証するでしょう。
The Grand Contest - April 1902,Village Lodge,The night of the Grand Contest had arrived and visitors gathered near the Lodge to witness the spectacle of the hunt.,El Gran Concurso - abril de 1902,Alojamiento,La noche del Gran Concurso había llegado y los visitantes se reunieron cerca del albergue para presenciar el espectáculo de la caza.,Der Grand Contest - April 1902,Village Lodge,Die Nacht des Grand Contest hatte angekommen und Besucher versammelten sich in der Nähe der Lodge um das Schauspiel der Jagd zu erleben.,O Grande Concurso - Abril de 1902,Village Lodge.,A noite do Grande Concurso havia chegado e visitantes se reuniram perto da pousada para testemunhar o espetáculo da caçada.,The Grand Contest - Aprile 1902,Village Lodge.,La notte del Grand Contest era arrivata e i visitatori si sono riuniti vicino al lodge per assistere allo spettacolo della caccia.,大竞赛 -  1902年4月,村屋屋,大赛的夜晚抵达，游客聚集在小屋附近，见证了狩猎的奇观。,グランドコンテスト -  1902年4月,ビレッジロッジ,グランドコンテストの夜は到着し、訪問者が狩りの眼鏡を目撃するためにロッジの近くに集まりました。
In the Blood,Village,The very thought of confronting the Hunters made the townsfolk desperately ill.,En la sangre,Pueblo,La idea misma de confrontar a los cazadores hizo que los pueblos se enfermaban desesperadamente.,Im Blut,Dorf,Der Gedanke, den Jäger zu konfrontieren machte die Townsfolk verzweifelt krank.,No Sangue,Vila,O próprio pensamento de confrontar os caçadores fez a cidade desesperadamente doente.,Nel sangue,Villaggio,Il molto pensato di affrontare i cacciatori ha reso il downfoll disperatamente malato.,在血液中,村庄,对猎人面对的思想拼命地生病了。,血の中で,村,ハンターに直面しているという考えは、町を必死に病気にしました。
A Hero's Welcome,Town,The gathered crowds became restless and burst into the Hunter's Lodge only to discover that the Fraternity had played them for fools.,Una bienvenida de un héroe,Pueblo,Las multitudes reunidas se inquietaron y estallaron en el albergue del cazador solo para descubrir que la fraternidad los había jugado para los tontos.,Ein Held ist willkommen,Stadt Dorf,Die gesammelten Massen wurden unruhig und brachen nur in die Hunter-Lodge, um herauszufinden, dass die Bruderschaft sie für Narren gespielt hatte.,Bem-vindo de um herói,Cidade,As multidões reunidas tornaram-se inquietas e explodiram no chalé de caçador apenas para descobrir que a fraternidade os jogou por tolos.,Il benvenuto di un eroe,Cittadina,Le folle riunite divennero irrequiete e scoppiono nel lodge del cacciatore solo per scoprire che la fraternità li aveva giocati per gli sciocchi.,英雄的欢迎,镇,聚集的人群变得焦躁不安，爆发到猎人的小屋中，只是为了发现兄弟会为傻瓜发挥了他们。,ヒーローの歓迎,町,集まった群衆は落ち着きがなくなり、友達が愚か者のためにそれらを演じたことを発見するためだけにハンターのロッジに破裂しました。
Rest and Time,Bed Room,Even the most agile mind cannot willingly escape the frailness of the human form. ,Descanso y tiempo,Cuarto,Incluso la mente más ágil no puede escapar voluntariamente la fragilidad de la forma humana.,Ruhe und Zeit,Schlafzimmer,Sogar der agiles Geist kann sich nicht freiwillig der Frawies der menschlichen Form entgehen.,Descanso e tempo,Quarto,Mesmo a mente mais ágil não pode escapar de voluncerismo na fragilidade da forma humana.,Riposo e tempo,Camera da letto,Anche la mente più agile non può sfuggire volontariamente la invariatezza della forma umana.,休息和时间,卧室,即使是最敏捷的心态也不能轻愿逃避人类形态的脆弱性。,休息と時間,ベッドルーム,最もアジャイルな心でさえも、人間の形の廃止された廃止されていない。
The Epidemic Strikes,Village,A second epidemic descended upon the village.,La epidemia huelga,Pueblo,Una segunda epidemia descendió sobre el pueblo.,Die epidemischen Streiks,Dorf,Eine zweite Epidemie stieg auf dem Dorf ab.,As greves epidêmicas,Vila,Uma segunda epidemia desceu sobre a aldeia.,Gli scioperi epidemici,Villaggio,Una seconda epidemia discese sul villaggio.,疫情罢工,村庄,第二次陷入困境。,流行のストライキ,村,第二の流行は村に降りた。
Inescapable Plague,Village,The group of young scientists found themselves stricken with a chronic illness that would remain with them for their entire lives.,Plaga ineludible,Pueblo,El grupo de jóvenes científicos se encontraron afectados por una enfermedad crónica que permanecería con ellos por toda su vida.,Unausweichliche Pest,Dorf,Die Gruppe junger Wissenschaftler fanden sich mit einer chronischen Erkrankung die für ihr ganzes Leben lang bei ihnen bleiben würde.,Peste inescapável,Vila,O grupo de jovens cientistas se viu atingidos com uma doença crônica que permaneceria com eles por toda a vida.,Peste ineludibile,Villaggio,Il gruppo di giovani scienziati si ritrovò colpiti da una malattia cronica che rimarrebbe con loro per tutta la vita.,不可避免的瘟疫,村庄,这群年轻科学家发现自己患有慢性疾病，这将留在他们的整个生命中。,避けられないペスト,村,若い科学者たちのグループは、彼らが彼らの生活のためにそれらと一緒に残るだろう慢性的な疾患で悩まされていることを見出しました。
Surprising Correspondence,Estate Hall,The cousins were amused to receive a plain letter of correspondence sealed with wax.,Correspondencia sorprendente,Estado inmobiliario,Los primos se divirtieron para recibir una letra de correspondencia sellada con cera.,Überraschende Korrespondenz,Immobilienhalle,Die Cousins ​​waren amüsiert um einen einfachen Korrespondenzbuchstaben mit Wachs zu erhalten.,Correspondência surpreendente,Estate Hall,Os primos foram divertidos para receber uma carta simples de correspondência selada com cera.,Corrispondenza sorprendente,Hall Hall.,I cugini erano divertiti a ricevere una semplice lettera di corrispondenza sigillata con cera.,令人惊讶的对应,庄园,堂兄弟被逗乐，接受用蜡密封的普通的通信字母。,驚くべき対応,エステートホール,いとこは、ワックスで密封された正確な対応書を受け取るために面白された。
A Return to Civility,Carriage,A morning ride allowed the aging aristocrats a chance to ruminate on the melancholic dour beauty of the region.,Un retorno a la civilidad,Carro,Un paseo matutino permitió a los aristócratas envejecidos la oportunidad de ruminar en la belleza melancólica de la región.,Eine Rückkehr zu Höflichkeit,Wagen,Eine Morgenfahrt erlaubte den alternden Aristokraten eine Chance auf der melancholischen Dour-Schönheit der Region zu ruminieren.,Um retorno à civilidade,Transporte,Um passeio matinal permitiu aos aristocratas envelhecidos uma chance de ruminar na beleza melancólica da região.,Un ritorno alla civiltà,Carrozza,Una corsa mattutina ha permesso agli aristocratici di invecchiamento la possibilità di ruminare sulla bellezza malinconica della regione.,回归文明,运输,早上骑行允许老化贵族有机会在该地区的忧郁溺爱之美。,礼儀正しいへの帰り,キャリッジ,朝の乗車は、老化の貴族たちに地域の憂鬱なドゥーフ美しさを抱いている機会を与えました。
A Year of Sickness,Village,The plague left the family bed-ridden for months on end.,Un año de enfermedad,Pueblo,La plaga dejó la cama de la familia montada durante meses en el final.,Ein Jahr der Krankheit,Dorf,Die Pest verließ die familiäre Betten die seit Monaten am Ende geritten ist.,Um ano de doença,Vila,A praga deixou a cama familiar durante meses a fio.,Un anno di malattia,Villaggio,La peste ha lasciato il letto a letto familiare per mesi.,一年的疾病,村庄,瘟疫将家庭床上骑在几个月的几个月。,病気の年,村,Plageは、最後に数ヶ月の間に家族を乗り越えたままにしました。
Hardware Store,Hardware Store,After visiting the establishment the peculiar attitude of the workers piqued their curiosity.,Ferretería,Ferretería,Después de visitar el establecimiento la actitud peculiar de los trabajadores picaron su curiosidad.,Baumarkt,Baumarkt,Nach dem Besuch des Establishments hatte die eigentümliche Haltung der Arbeiter ihre Neugier.,Loja de Hardware,Loja de Hardware.,Depois de visitar o estabelecimento a atitude peculiar dos trabalhadores despertou sua curiosidade.,Negozio di ferramenta,Negozio hardware,Dopo aver visitato lo stabilimento l'atteggiamento particolare dei lavoratori ha chinato la loro curiosità.,五金店,五金店,访问建立后，工人的特殊态度激起了他们的好奇心。,ハードウェアストア,ハードウェアストア,施設を訪問した後、労働者の独特の態度は彼らの好奇心を騙した。
Pet Store,Pet Store,After visiting the establishment the peculiar attitude of the workers piqued their curiosity.,Tienda PET,Tienda de mascotas,Después de visitar el establecimiento la actitud peculiar de los trabajadores picaron su curiosidad.,Tierhandlung,Tierhandlung,Nach dem Besuch des Establishments hatte die eigentümliche Haltung der Arbeiter ihre Neugier.,Pet Store,Loja de animais,Depois de visitar o estabelecimento a atitude peculiar dos trabalhadores despertou sua curiosidade.,Negozio di animali,Negozio di animali,Dopo aver visitato lo stabilimento l'atteggiamento particolare dei lavoratori ha chinato la loro curiosità.,宠物商店,宠物店,访问建立后，工人的特殊态度激起了他们的好奇心。,ペットストア,ペットショップ,施設を訪問した後、労働者の独特の態度は彼らの好奇心を騙した。
Book Store,Book Store,After visiting the establishment the peculiar attitude of the workers piqued their curiosity.,Librería,Librería,Después de visitar el establecimiento la actitud peculiar de los trabajadores picaron su curiosidad.,Buchhandlung,Buchladen,Nach dem Besuch des Establishments hatte die eigentümliche Haltung der Arbeiter ihre Neugier.,Loja de livros,Loja de livros,Depois de visitar o estabelecimento a atitude peculiar dos trabalhadores despertou sua curiosidade.,Negozio di libri,Negozio di libri,Dopo aver visitato lo stabilimento l'atteggiamento particolare dei lavoratori ha chinato la loro curiosità.,书店,书店,访问建立后，工人的特殊态度激起了他们的好奇心。,ブックストア,ブックストア,施設を訪問した後、労働者の独特の態度は彼らの好奇心を騙した。
Hardware Store - Exposed,Hardware Store,I exposed the store as it didn't align with my endeavors.,Ferretería - Expuesto,Ferretería,Expuso la tienda ya que no se alineaba con mis esfuerzos.,Hardwarespeicher - exponiert,Baumarkt,Ich habe den Laden freigelegt da es nicht mit meinen Bemühungen ausgerichtet wurde.,Loja de ferragens - exposto,Loja de Hardware.,Eu expôs a loja pois não se alinha com meus empreendimentos.,Store hardware - Esposto,Negozio hardware,Ho esposto il negozio perché non ha allineato con i miei sforzi.,五金店 - 暴露,五金店,我暴露了商店，因为它没有与我的努力保持一致。,ハードウェアストア - 公開されています,ハードウェアストア,私は私の努力と整列しなかったので私は店を露出させました。
Pet Store - Exposed,Pet Store,I exposed the store as it didn't align with my endeavors.,Tienda de mascotas - expuesto,Tienda de mascotas,Expuso la tienda ya que no se alineaba con mis esfuerzos.,Pet Store - exponiert,Tierhandlung,Ich habe den Laden freigelegt da es nicht mit meinen Bemühungen ausgerichtet wurde.,Pet Store - Exposto,Loja de animais,Eu expôs a loja pois não se alinha com meus empreendimentos.,Negozio di animali - esposto,Negozio di animali,Ho esposto il negozio perché non ha allineato con i miei sforzi.,宠物商店 - 暴露,宠物店,我暴露了商店，因为它没有与我的努力保持一致。,ペットストア - 公開されています,ペットショップ,私は私の努力と整列しなかったので私は店を露出させました。
Book Store - Exposed,Book Store,I exposed the store as it didn't align with my endeavors.,Librería - Expuesta,Librería,Expuso la tienda ya que no se alineaba con mis esfuerzos.,Buchhandlung - Exponiert,Buchladen,Ich habe den Laden freigelegt da es nicht mit meinen Bemühungen ausgerichtet wurde.,Loja de livros - expostos,Loja de livros,Eu expôs a loja pois não se alinha com meus empreendimentos.,Negozio di libri - Esposto,Negozio di libri,Ho esposto il negozio perché non ha allineato con i miei sforzi.,书店 - 暴露,书店,我暴露了商店，因为它没有与我的努力保持一致。,ブックストア - 公開されています,ブックストア,私は私の努力と整列しなかったので私は店を露出させました。
Hardware Store - Concealed,Hardware Store,I decided to keep my findings of the store secret.,Ferretería - oculto,Ferretería,Decidí mantener mis hallazgos del secreto de la tienda.,Baumarkt - verborgen,Baumarkt,Ich beschloss meine Erkenntnisse des Hole-Geheimnisses zu halten.,Loja de ferragens - escondido,Loja de Hardware.,Eu decidi manter minhas descobertas do segredo da loja.,Store hardware - nascosto,Negozio hardware,Ho deciso di tenere i miei risultati del segreto del negozio.,五金店 - 隐藏,五金店,我决定保留我的商店秘密的发现。,ハードウェアストア - 隠された,ハードウェアストア,私は店の秘密の私の調査結果を保つことにしました。
Pet Store - Concealed,Pet Store,I decided to keep my findings of the store secret.,Tienda de mascotas - oculto,Tienda de mascotas,Decidí mantener mis hallazgos del secreto de la tienda.,Tierladen - verborgen,Tierhandlung,Ich beschloss meine Erkenntnisse des Hole-Geheimnisses zu halten.,Pet Store - escondido,Loja de animais,Eu decidi manter minhas descobertas do segredo da loja.,Negozio di animali domestici - nascosto,Negozio di animali,Ho deciso di tenere i miei risultati del segreto del negozio.,宠物商店 - 隐藏,宠物店,我决定保留我的商店秘密的发现。,ペットストア - 隠した,ペットショップ,私は店の秘密の私の調査結果を保つことにしました。
Book Store - Concealed,Book Store,I decided to keep my findings of the store secret.,Librería - Oculta,Librería,Decidí mantener mis hallazgos del secreto de la tienda.,Buchladen - verborgen,Buchladen,Ich beschloss meine Erkenntnisse des Hole-Geheimnisses zu halten.,Livraria - escondido,Loja de livros,Eu decidi manter minhas descobertas do segredo da loja.,Negozio di libri - nascosto,Negozio di libri,Ho deciso di tenere i miei risultati del segreto del negozio.,书店 - 隐藏,书店,我决定保留我的商店秘密的发现。,ブックストア - 隠した,ブックストア,私は店の秘密の私の調査結果を保つことにしました。
An Illuminating Conversation,Stable,I approached the stable hand who was generous with information.,Una conversación iluminadora,Estable,Me acercé a la mano estable que era generosa con información.,Ein beleuchtendes Gespräch,Stabil,Ich näherte mich der stabilen Hand die großzügig mit Informationen war.,Uma conversa iluminante,Estábulo,Eu me aproximei da mão estável que era generosa com informações.,Una conversazione illuminante,Stabile,Mi sono avvicinato alla mano stabile che era generosa con le informazioni.,一个照明的对话,稳定的,我接近了慷慨的信息的稳定手。,照明会話,安定した,私は情報に寛大であった安定した手に近づいた。
Order of St. Hubertus,Estate,A member of the order arrives in the estate.,Orden de San Hubertus,Inmuebles,Un miembro de la Orden llega a la finca.,Ordnung von St. Hubertus,Immobilien,Ein Mitglied der Bestellung kommt im Anwesen an.,Ordem de St. Hubertus,Estado,Um membro da ordem chega à propriedade.,Ordine di St. Hubertus,Tenuta,Un membro dell'ordine arriva nella tenuta.,圣休伯特斯的顺序,财产,订单成员到达遗产。,聖ヒバートスの順序,エステート,注文のメンバーが不動産に到着します。
Fraternity of Hunters,Estate,A member of the fraternity arrives in the estate.,Fraternidad de cazadores.,Inmuebles,Un miembro de la Fraternidad llega a la finca.,Bruderschaft der Jäger,Immobilien,Ein Mitglied der Brüderlichkeit kommt im Anwesen an.,Fraternidade dos caçadores,Estado,Um membro da fraternidade chega à propriedade.,Fraternità dei cacciatori,Tenuta,Un membro della fraternità arriva nella tenuta.,猎人的兄弟挣扎,财产,兄弟会成员到达庄园。,ハンターの友愛,エステート,友愛のメンバーが不動産に到着します。
An Alternative Cure,Village,An envoy from the Order of St. Hubertus arrives presenting a cure.,Una cura alternativa,Pueblo,Un enviado del orden de San Hubertus llega a presentar una cura.,Eine alternative Heilung,Dorf,Ein Gesandter aus der Größenordnung von St. Hubertus kommt an um eine Heilung zu präsentieren.,Uma cura alternativa,Vila,Um enviado da ordem de São Hubertus chega a apresentar uma cura.,Una cura alternativa,Villaggio,Un inviato dall'ordine di St. Hubertus arriva presentando una cura.,另一种治疗方法,村庄,来自圣休伯特斯勋章的特使到达治愈。,代替治療法,村,St. Hubertusの順序からの特使が治療法を提示する。
An Alternative Cure,Village,An envoy from the Fraternity of Hunters arrives presenting a cure.,Una cura alternativa,Pueblo,Un enviado de la fraternidad de los cazadores llega a presentar una cura.,Eine alternative Heilung,Dorf,Ein Gesandter aus der Bruderschaft der Jäger kommt an ein Heilmittel zu präsentieren.,Uma cura alternativa,Vila,Um enviado da fraternidade dos caçadores chega a apresentar uma cura.,Una cura alternativa,Villaggio,Un inviato dalla fraternità dei cacciatori arriva presentando una cura.,另一种治疗方法,村庄,来自猎人兄弟会的特使到达治愈。,代替治療法,村,ハンターの友愛からの使い方は治療法を提示します。
Wasted Potential,Village,The disease's effects that plagued the scientists were tiresome.,Potencial desperdiciado,Pueblo,Los efectos de la enfermedad que plagaron a los científicos eran aburridos.,Verschwendetes Potenzial,Dorf,Die Auswirkungen der Krankheit die die Wissenschaftler plagten waren ermüdend.,Potencial desperdiçado,Vila,Os efeitos da doença que atormentaram os cientistas eram cansativos.,Potenziale sprecato,Villaggio,Gli effetti della malattia che affliggevano gli scienziati erano noiosi.,浪费潜力,村庄,困扰科学家的疾病是令人厌倦的。,無駄な可能性,村,科学者たちを悩まされた病気の影響は面倒でした。
